Row,Line,StationNumber,StationCode,StationName,X,Y,Common Stations
1,R,01,R01, Maplewood Station,8.756969333,14.79016876,
2,R,02,R02, Lakeview Heights Station,35.30510521,38.3885107,
3,R,03,R03, Green Hills Station,64.06567669,56.37714005,
4,R,04,R04, Brightwater Station,99.57505798,57.25391483,
5,R,05,R05, Southland Plaza Station,134.0755901,62.26225471,
6,R,06,R06, Suncrest Station,166.2722359,74.85776997,
7,R,07,R07, Riverstone Station,200.5234299,65.44810867,
8,R,08,R08, Rosewood Station,234.7746048,56.03844261,
9,R,09,R09, Springhill Station,265.0722275,70.87066269,
10,R,10,R10, Forestview Station,294.5589409,90.67517853,
11,R,11,R11, Oakdale Station,309.4296417,122.1238098,
12,R,12,R12, Brookside Station,328.4291229,149.1576157,
13,R,13,R13, Highland Park Station,361.2738571,162.6819382,
14,R,14,R14, Cedar Point Station,394.1186295,176.2062416,
15,R,15,R15, Northgate Station,428.6624298,180.8684692,
16,R,16,R16, Central Square Station,464.1801605,180.4506073,
17,R,17,R17, Parkside Station,497.1669922,190.1041756,
18,R,18,R18, Woodland Station,528.2676849,207.2631607,
19,R,19,R19, Summerfield Station,545.2255783,238.2502327,
20,R,20,R20, City Hall Station,575.2224503,252.9356918,
21,R,21,R21, Hillcrest Station,609.473587,262.3453674,
22,R,22,R22, Mill Creek Station,627.5908051,284.054409,B25
23,R,23,R23, Riverside Station,627.5908051,319.5746002,B24
24,R,24,R24, Willow Grove Station,627.5908051,355.0948486,"B23, G18"
25,R,25,R25, Pine Grove Station,628.0961761,390.6113968,B22
26,R,26,R26, West End Station,637.4910889,421.0319672,
27,R,27,R27, Bayfront Station,668.2654724,438.31987,
28,R,28,R28, Sunnybrook Station,703.5114441,442.7256165,
29,R,29,R29, Fairmont Station,738.7572632,447.1313248,
30,R,30,R30, Oceanfront Station,769.874054,459.2040405,
31,R,31,R31, The Meadows Station,792.9499207,486.2076721,
32,R,32,R32, Fairview Station,821.9086609,504.8902664,
33,R,33,R33, West Hills Station,855.0613556,517.6413116,
34,R,34,R34, Oakwood Station,890.3247986,519.592186,
35,R,35,R35, Southbank Station,925.8318481,519.1737137,
36,R,36,R36, Midtown Station,961.3343201,518.0526123,
37,R,37,R37, Maple Leaf Station,996.3496552,520.4796753,
38,R,38,R38, Lakewood Station,1030.235764,531.1295853,
39,R,39,R39, City Center Station,1055.500885,552.382103,
40,R,40,R40, Forest Hill Station,1072.840134,583.3826218,
41,R,41,R41, Skyview Station,1099.574753,606.3211212,
42,R,42,R42, Cedar Hill Station,1128.07283,627.4923096,
43,R,43,R43, Hilltop Station,1157.513672,647.3648987,
44,B,01,B01, Northside Station,7.895084381,669.8231659,
45,B,02,B02, Bayview Station,35.80930805,648.2291565,
46,B,03,B03, Greenfield Station,58.69788742,622.7222595,
47,B,04,B04, University Station,72.78870201,590.3655777,
48,B,05,B05, Stonebridge Station,101.9736633,581.3885651,
49,B,06,B06, Cherrywood Station,137.2621689,581.8654404,
50,B,07,B07, Broadview Station,172.5535736,581.9108734,
51,B,08,B08, Riverfront Station,207.8453026,581.9108734,
52,B,09,B09, Parkview Station,226.1515198,557.6606903,
53,B,10,B10, Central Park Station,250.2409515,535.9384689,
54,B,11,B11, Redwood Station,282.9810104,523.3027039,
55,B,12,B12, Brookhaven Station,318.2727203,523.3027039,
56,B,13,B13, Elmwood Station,352.6982651,520.4216919,
57,B,14,B14, Southside Station,382.1393356,500.9606705,
